Actual,Predicted,Probability_Destroyed
0,0,0.49737878787878786
0,1,0.5609343434343435
0,0,0.49737878787878786
0,0,0.46271212121212124
0,0,0.46271212121212124
0,0,0.46271212121212124
0,0,0.46271212121212124
0,0,0.46271212121212124
1,0,0.45071212121212123
0,0,0.3919184704184705
0,0,0.3919184704184705
0,0,0.5
0,0,0.5
0,0,0.5
1,1,0.7677777777777777
0,1,0.7972936507936508
1,1,0.6833404373404374
1,1,0.7972936507936507
0,1,0.6833404373404374
0,1,0.6833404373404374
1,1,0.7476666666666667
1,1,0.8206269841269841
1,1,0.61375
0,1,0.6825833333333334
0,1,0.6825833333333334
1,0,0.32415151515151513
1,0,0.44799999999999995
1,0,0.3346904761904762
0,0,0.390404761904762
0,1,0.550047619047619
1,0,0.24803478685057623
0,0,0.24803478685057623
0,0,0.24803478685057623
0,0,0.24803478685057623
1,1,0.6606666666666667
1,1,0.87
1,1,0.5609343434343435
0,0,0.46271212121212124
